Ghana,غانا
Gibraltar,جبل طارق
Grand Duchy of Luxembourg,لوكسمبورغ
Greece,اليونان
Greenland,غرينلاند
Grenada,غرينادا
Guadeloupe,غوادلوب
Guam,غوام
Guatemala,غواتيمالا
Guernsey,غيرنزي
Guinea,غينيا
Guinea-Bissau,غينيا بيساو
Guyana,غيانا
Haiti,هايتي
Hashemite Kingdom of Jordan,الأردن
Heard & McDonald Islands,جزيرة هيرد وجزر ماكدونالد
Heard Island and McDonald Islands,جزيرة هيرد وجزر ماكدونالد
Hellenic Republic,اليونان
Holy See,الفاتيكان
Holy See (Vatican City State),الفاتيكان
Honduras,هندوراس
Hong Kong,هونغ كونغ الصينية (منطقة إدارية خاصة)
Hong Kong SAR China,هونغ كونغ الصينية (منطقة إدارية خاصة)
Hong Kong Special Administrative Region of China,هونغ كونغ الصينية (منطقة إدارية خاصة)
Hungary,هنغاريا
Iceland,آيسلندا
Independent State of Papua New Guinea,بابوا غينيا الجديدة
Independent State of Samoa,ساموا
India,الهند
Indonesia,إندونيسيا
Iran,إيران
"Iran, Islamic Republic of",إيران
Iraq,العراق
Ireland,أيرلندا
Islamic Republic of Afghanistan,أفغانستان
Islamic Republic of Iran,إيران
Islamic Republic of Mauritania,موريتانيا
Islamic Republic of Pakistan,باكستان
Isle of Man,جزيرة مان
Israel,إسرائيل
Italian Republic,إيطاليا
Italy,إيطاليا
Ivory Coast,ساحل العاج
Jamaica,جامايكا
Japan,اليابان
Jersey,جيرسي
Jordan,الأردن
Kazakhstan,كازاخستان
Kenya,كينيا
Kingdom of Bahrain,البحرين
Kingdom of Belgium,بلجيكا
Kingdom of Bhutan,بوتان
Kingdom of Cambodia,كمبوديا
Kingdom of Denmark,الدانمرك
Kingdom of Eswatini,إسواتيني
Kingdom of Lesotho,ليسوتو
Kingdom of Morocco,المغرب
Kingdom of Norway,النرويج
Kingdom of Saudi Arabia,المملكة العربية السعودية
Kingdom of Spain,إسبانيا
Kingdom of Sweden,السويد
Kingdom of Thailand,تايلاند
Kingdom of the Netherlands,هولندا
Kingdom of Tonga,تونغا
Kiribati,كيريباتي
"Korea, Democratic People's Republic of",كوريا الشمالية
"Korea, Republic of",كوريا الجنوبية
Kosovo,كوسوفو
Kuwait,الكويت
Kyrgyz Republic,قيرغيزستان
Kyrgyzstan,قيرغيزستان
Lao People's Democratic Republic,لاوس
Laos,لاوس
Latvia,لاتفيا
Lebanese Republic,لبنان
Lebanon,لبنان
Lesotho,ليسوتو
Liberia,ليبيريا
Libya,ليبيا
Liechtenstein,ليختنشتاين
Lithuania,ليتوانيا
Luxembourg,لوكسمبورغ
Macao,منطقة ماكاو الإدارية الخاصة
Macao SAR China,منطقة ماكاو الإدارية الخاصة
Macao Special Administrative Region of China,منطقة ماكاو الإدارية الخاصة
Macau,منطقة ماكاو الإدارية الخاصة
Macedonia,مقدونيا الشمالية
Madagascar,مدغشقر
Malawi,ملاوي
Malaysia,ماليزيا
Maldives,جزر المالديف
Mali,مالي
Malta,مالطا
Marshall Islands,جزر مارشال
Martinique,جزر المارتينيك
Mauritania,موريتانيا
Mauritius,موريشيوس
Mayotte,مايوت
Mexico,المكسيك
Micronesia,ميكرونيزيا
"Micronesia, Federated States of",ميكرونيزيا
Moldova,مولدوفا
"Moldova, Republic of",مولدوفا
Monaco,موناكو
Mongolia,منغوليا
Montenegro,الجبل الأسود
Montserrat,مونتسرات
Morocco,المغرب
Mozambique,موزمبيق
Myanmar,ميانمار (بورما)
Myanmar (Burma),ميانمار (بورما)
Namibia,ناميبيا
Nauru,ناورو
Nepal,نيبال
Netherlands,هولندا
New Caledonia,كاليدونيا الجديدة
New Zealand,نيوزيلندا
Nicaragua,نيكاراغوا
Niger,النيجر
Nigeria,نيجيريا
Niue,نيوي
Norfolk Island,جزيرة نورفولك
North Korea,كوريا الشمالية
North Macedonia,مقدونيا الشمالية
Northern Mariana Islands,جزر ماريانا الشمالية
Norway,النرويج
Oman,عُمان
Pakistan,باكستان
Palau,بالاو
Palestine,فلسطين
"Palestine, State of",الأراضي الفلسطينية
Palestinian Territories,فلسطين
Palestinian Territory,فلسطين
Panama,بنما
Papua New Guinea,بابوا غينيا الجديدة
Paraguay,باراغواي
People's Democratic Republic of Algeria,الجزائر
People's Republic of Bangladesh,بنغلاديش
People's Republic of China,الصين
Peru,بيرو
Philippines,الفلبين
Pitcairn,جزر بيتكيرن
Pitcairn Islands,جزر بيتكيرن
Plurinational State of Bolivia,بوليفيا
Poland,بولندا
Portugal,البرتغال
Portuguese Republic,البرتغال
Principality of Andorra,أندورا
Principality of Liechtenstein,ليختنشتاين
Principality of Monaco,موناكو
Puerto Rico,بورتوريكو
Qatar,قطر
Republic of Albania,ألبانيا
Republic of Angola,أنغولا
Republic of Armenia,أرمينيا
Republic of Austria,النمسا
Republic of Azerbaijan,أذربيجان
Republic of Belarus,بيلاروس
Republic of Benin,بنين
Republic of Bosnia and Herzegovina,البوسنة والهرسك
Republic of Botswana,بوتسوانا
Republic of Bulgaria,بلغاريا
Republic of Burundi,بوروندي
Republic of Cabo Verde,الرأس الأخضر
Republic of Cameroon,الكاميرون
Republic of Chad,تشاد
Republic of Chile,تشيلي
Republic of Colombia,كولومبيا
Republic of Costa Rica,كوستاريكا
Republic of Croatia,كرواتيا
Republic of Cuba,كوبا
Republic of Cyprus,قبرص
Republic of Côte d'Ivoire,ساحل العاج
Republic of Djibouti,جيبوتي
Republic of Ecuador,الإكوادور
Republic of El Salvador,السلفادور
Republic of Equatorial Guinea,غينيا الاستوائية
Republic of Estonia,إستونيا
Republic of Fiji,فيجي
Republic of Finland,فنلندا
Republic of Ghana,غانا
Republic of Guatemala,غواتيمالا
Republic of Guinea,غينيا
Republic of Guinea-Bissau,غينيا بيساو
Republic of Guyana,غيانا
Republic of Haiti,هايتي
Republic of Honduras,هندوراس
Republic of Iceland,آيسلندا
Republic of India,الهند
Republic of Indonesia,إندونيسيا
Republic of Iraq,العراق
Republic of Kazakhstan,كازاخستان
Republic of Kenya,كينيا
Republic of Kiribati,كيريباتي
Republic of Latvia,لاتفيا
Republic of Liberia,ليبيريا
Republic of Lithuania,ليتوانيا
Republic of Madagascar,مدغشقر
Republic of Malawi,ملاوي
Republic of Maldives,جزر المالديف
Republic of Mali,مالي
Republic of Malta,مالطا
Republic of Mauritius,موريشيوس
Republic of Moldova,مولدوفا
Republic of Mozambique,موزمبيق
Republic of Myanmar,ميانمار (بورما)
Republic of Namibia,ناميبيا
Republic of Nauru,ناورو
Republic of Nicaragua,نيكاراغوا
Republic of North Macedonia,مقدونيا الشمالية
Republic of Palau,بالاو
Republic of Panama,بنما
Republic of Paraguay,باراغواي
Republic of Peru,بيرو
Republic of Poland,بولندا
Republic of San Marino,سان مارينو
Republic of Senegal,السنغال
Republic of Serbia,صربيا
Republic of Seychelles,سيشل
Republic of Sierra Leone,سيراليون
Republic of Singapore,سنغافورة
Republic of Slovenia,سلوفينيا
Republic of South Africa,جنوب أفريقيا
Republic of South Sudan,جنوب السودان
Republic of Suriname,سورينام
Republic of Tajikistan,طاجيكستان
Republic of the Congo,الكونغو - برازافيل
Republic of the Gambia,غامبيا
Republic of the Marshall Islands,جزر مارشال
Republic of the Niger,النيجر
Republic of the Philippines,الفلبين
Republic of the Sudan,السودان
Republic of Trinidad and Tobago,ترينيداد وتوباغو
Republic of Tunisia,تونس
Republic of Türkiye,تركيا
Republic of Uganda,أوغندا
Republic of Uzbekistan,أوزبكستان
Republic of Vanuatu,فانواتو
Republic of Yemen,اليمن
Republic of Zambia,زامبيا
Republic of Zimbabwe,زيمبابوي
Reunion,روينيون
Romania,رومانيا
Russia,روسيا
Russian Federation,روسيا
Rwanda,رواندا
Rwandese Republic,رواندا
Réunion,روينيون
Saint Barthelemy,سان بارتليمي
Saint Barthélemy,سان بارتليمي
"Saint Helena, Ascension and Tristan da Cunha",سانت هيلينا
Saint Kitts and Nevis,سانت كيتس ونيفيس
Saint Lucia,سانت لوسيا
Saint Martin,سان مارتن
Saint Martin (French part),سان مارتن
Saint Pierre and Miquelon,سان بيير ومكويلون
Saint Vincent and the Grenadines,سانت فنسنت وجزر غرينادين
Samoa,ساموا
San Marino,سان مارينو
Sao Tome and Principe,ساو تومي وبرينسيبي
Saudi Arabia,المملكة العربية السعودية
Senegal,السنغال
Serbia,صربيا
Seychelles,سيشل
Sierra Leone,سيراليون
Singapore,سنغافورة
Sint Maarten,سانت مارتن
Sint Maarten (Dutch part),سانت مارتن
Slovak Republic,سلوفاكيا
Slovakia,سلوفاكيا
Slovenia,سلوفينيا
Socialist Republic of Viet Nam,فيتنام
Solomon Islands,جزر سليمان
Somalia,الصومال
South Africa,جنوب أفريقيا
South Georgia & South Sandwich Islands,جورجيا الجنوبية وجزر ساندويتش الجنوبية
South Georgia and the South Sandwich Islands,جورجيا الجنوبية وجزر ساندويتش الجنوبية
South Korea,كوريا الجنوبية
South Sudan,جنوب السودان
Spain,إسبانيا
Sri Lanka,سريلانكا
St. Barthélemy,سان بارتليمي
St. Helena,سانت هيلينا
St. Kitts & Nevis,سانت كيتس ونيفيس
St. Lucia,سانت لوسيا
St. Martin,سان مارتن
St. Pierre & Miquelon,سان بيير ومكويلون
St. Vincent & Grenadines,سانت فنسنت وجزر غرينادين
State of Israel,إسرائيل
State of Kuwait,الكويت
State of Qatar,قطر
Sudan,السودان
Sultanate of Oman,عُمان
Suriname,سورينام
Svalbard & Jan Mayen,سفالبارد وجان ماين
Svalbard and Jan Mayen,سفالبارد وجان ماين
Swaziland,إسواتيني
Sweden,السويد
Swiss Confederation,سويسرا
Switzerland,سويسرا
Syria,سوريا
Syrian Arab Republic,سوريا
São Tomé & Príncipe,ساو تومي وبرينسيبي
São Tomé and Príncipe,ساو تومي وبرينسيبي
Taiwan,تايوان
"Taiwan, Province of China",تايوان
Tajikistan,طاجيكستان
Tanzania,تنزانيا
"Tanzania, United Republic of",تنزانيا
Thailand,تايلاند
The Bahamas,جزر البهاما
The Gambia,غامبيا
the State of Eritrea,إريتريا
the State of Palestine,الأراضي الفلسطينية
Timor Leste,تيمور - ليشتي
Timor-Leste,تيمور - ليشتي
Togo,توغو
Togolese Republic,توغو
Tokelau,توكيلاو
Tonga,تونغا
Trinidad & Tobago,ترينيداد وتوباغو
Trinidad and Tobago,ترينيداد وتوباغو
Tunisia,تونس
Turkey,تركيا
Turkmenistan,تركمانستان
Turks & Caicos Islands,جزر توركس وكايكوس
Turks and Caicos Islands,جزر توركس وكايكوس
Tuvalu,توفالو
Türkiye,تركيا
U.S. Outlying Islands,جزر الولايات المتحدة النائية
U.S. Virgin Islands,جزر فيرجن الأمريكية
Uganda,أوغندا
UK,المملكة المتحدة
Ukraine,أوكرانيا
Union of the Comoros,جزر القمر
United Arab Emirates,الإمارات العربية المتحدة
United Kingdom,المملكة المتحدة
United Kingdom of Great Britain and Northern Ireland,المملكة المتحدة
United Mexican States,المكسيك
United Republic of Tanzania,تنزانيا
United States,الولايات المتحدة الأمريكية
United States Minor Outlying Islands,جزر الولايات المتحدة النائية
United States of America,الولايات المتحدة الأمريكية
Uruguay,أورغواي
US Virgin Islands,جزر فيرجن الأمريكية
USA,الولايات المتحدة الأمريكية
Uzbekistan,أوزبكستان
Vanuatu,فانواتو
Vatican City,الفاتيكان
Venezuela,فنزويلا
"Venezuela, Bolivarian Republic of",فنزويلا
Viet Nam,فيتنام
Vietnam,فيتنام
Virgin Islands of the United States,جزر فيرجن الأمريكية
"Virgin Islands, British",جزر فيرجن البريطانية
"Virgin Islands, U.S.",جزر فيرجن الأمريكية
Wallis & Futuna,جزر والس وفوتونا
Wallis and Futuna,جزر والس وفوتونا
Western Sahara,الصحراء الغربية
Yemen,اليمن
Zambia,زامبيا
Zimbabwe,زيمبابوي
Åland Islands,جزر آلاند
